"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","612,789","±11,656","93,277","±4,063","939,310","±13,797","416,833","±8,716","6,041,358","±33,816","834,070","±13,276","494,848","±9,280","108,917","±4,817","203,739","±5,012","2,862,973","±25,371","1,407,906","±18,599","185,477","±6,099","201,613","±6,304","1,654,539","±18,958","814,438","±12,940","377,500","±8,256","395,974","±8,005","579,082","±9,566","585,692","±12,761","157,641","±5,392","765,237","±12,851","1,056,510","±13,533","1,079,218","±15,394","656,737","±11,691","337,457","±9,161","798,230","±10,572","145,523","±5,666","274,332","±5,917","484,498","±10,930","157,262","±5,543","1,283,005","±14,984","263,167","±8,606","3,587,598","±29,913","1,479,202","±16,983","122,696","±4,299","1,617,030","±18,167","554,952","±7,443","640,453","±11,149","1,626,438","±15,809","159,990","±5,886","600,375","±11,250","115,920","±4,390","945,944","±16,398","4,212,276","±32,908","349,558","±7,858","74,882","±3,856","1,095,593","±14,067","1,125,696","±14,021","196,774","±7,325","800,791","±12,093","71,171","±3,996","403,590","±10,784"
"    Less than 10.0 percent","26,308","±3,467","4,666","±1,212","33,097","±3,550","17,329","±2,613","182,746","±7,062","20,618","±2,491","16,516","±2,384","3,332","±1,143","12,154","±3,018","64,569","±4,828","49,662","±4,723","6,742","±1,374","7,864","±1,660","72,340","±4,604","34,316","±3,795","17,219","±2,152","17,347","±2,262","24,502","±3,035","20,302","±2,506","6,158","±1,329","26,292","±3,140","42,259","±4,365","38,120","±3,368","21,590","±2,466","12,926","±2,500","35,826","±3,722","8,491","±1,469","12,925","±1,733","12,287","±2,422","5,156","±1,287","51,016","±4,594","11,541","±1,891","173,394","±9,605","58,116","±4,942","8,842","±1,928","68,931","±4,180","22,244","±2,624","19,008","±2,548","67,525","±4,265","6,392","±1,850","19,583","±2,634","7,959","±1,665","39,304","±4,147","129,636","±8,438","10,981","±1,737","3,398","±1,095","41,965","±3,503","43,559","±3,802","9,330","±1,717","34,486","±2,720","3,654","±1,008","10,583","±1,823"
"    10.0 to 14.9 percent","54,356","±4,226","8,969","±1,299","57,640","±5,641","40,881","±4,027","395,427","±12,784","56,362","±4,048","35,893","±3,367","7,914","±1,825","16,859","±2,815","142,623","±8,508","99,798","±5,739","10,094","±1,495","14,053","±2,037","163,864","±8,165","68,835","±5,244","38,185","±3,332","45,363","±4,048","50,618","±4,019","40,112","±4,259","12,280","±2,007","52,653","±4,777","72,637","±5,223","84,369","±5,048","58,916","±4,861","25,307","±3,456","77,067","±4,990","10,286","±1,662","27,971","±2,723","26,818","±2,660","10,203","±2,014","101,901","±5,861","18,530","±2,774","309,153","±11,741","127,438","±7,205","17,772","±2,592","149,092","±7,787","44,660","±3,405","42,419","±3,503","143,297","±6,095","10,983","±2,305","46,184","±4,369","12,645","±2,052","79,590","±6,896","298,989","±12,059","27,375","±2,775","6,148","±1,331","88,006","±5,714","92,368","±5,830","18,069","±2,633","81,884","±5,449","7,320","±1,629","22,925","±2,892"
"    15.0 to 19.9 percent","62,418","±5,255","9,674","±1,459","96,118","±6,758","52,648","±4,927","620,166","±15,354","91,028","±5,574","55,242","±4,153","13,176","±2,279","25,912","±3,285","242,420","±11,669","142,950","±7,678","17,170","±2,105","24,165","±2,658","203,160","±8,109","107,331","±6,727","51,493","±3,779","49,222","±4,342","66,971","±4,827","55,537","±4,739","17,685","±2,296","83,317","±6,257","109,167","±6,327","117,819","±6,942","79,029","±5,557","35,347","±3,632","104,667","±4,965","16,950","±2,221","34,644","±3,527","46,653","±4,478","17,491","±2,724","152,886","±7,997","31,591","±3,167","405,602","±13,210","172,241","±8,716","14,757","±2,284","208,350","±8,751","68,875","±4,348","67,841","±4,847","185,628","±8,731","18,696","±3,036","60,770","±4,884","14,719","±1,793","106,950","±6,046","461,376","±15,266","44,696","±3,898","9,186","±1,845","138,849","±7,167","135,512","±6,939","20,054","±3,060","110,614","±5,804","8,471","±1,468","26,298","±3,043"
"    20.0 to 24.9 percent","71,032","±5,984","11,294","±1,670","112,730","±7,296","46,373","±4,560","669,560","±16,286","100,968","±6,376","56,901","±4,975","11,651","±2,380","28,249","±3,977","278,171","±11,187","163,852","±7,860","20,766","±2,390","24,177","±2,554","205,228","±9,302","93,973","±5,809","47,890","±3,714","52,302","±3,941","66,410","±4,720","56,855","±5,754","18,530","±2,253","86,443","±5,706","126,143","±6,547","124,407","±7,997","88,346","±5,037","36,294","±3,641","99,091","±6,697","16,831","±2,157","35,249","±3,596","55,689","±4,807","21,363","±3,168","144,801","±7,938","29,586","±3,250","399,332","±14,339","177,951","±8,251","14,834","±2,363","187,171","±8,892","68,814","±4,328","80,002","±5,197","190,860","±8,100","21,435","±3,643","62,964","±5,069","15,209","±2,227","109,063","±7,122","504,480","±14,979","48,085","±4,151","8,876","±1,706","132,653","±7,376","138,493","±7,508","20,720","±2,379","106,884","±6,379","8,798","±1,940","28,124","±3,151"
"    25.0 to 29.9 percent","59,037","±4,378","11,458","±2,032","104,581","±6,965","40,724","±3,921","649,680","±17,474","103,080","±7,040","54,636","±4,101","12,430","±2,261","24,027","±3,791","301,096","±12,401","142,999","±7,766","19,107","±2,186","22,220","±2,516","172,537","±8,322","81,783","±5,762","40,058","±3,631","43,746","±3,575","61,720","±4,283","51,353","±5,068","18,578","±2,820","88,760","±6,109","119,646","±6,825","119,819","±6,537","72,290","±4,437","33,404","±3,652","83,084","±5,586","17,289","±2,791","32,198","±2,786","52,375","±4,668","18,405","±2,363","144,998","±8,566","27,626","±3,495","361,772","±12,313","157,319","±7,386","14,898","±2,473","175,665","±7,468","55,796","±3,888","72,917","±4,619","175,088","±8,400","20,348","±3,173","67,531","±5,686","12,221","±1,601","100,590","±6,869","465,210","±15,683","45,555","±3,955","9,018","±1,584","122,480","±6,336","125,084","±6,088","18,633","±2,466","86,248","±4,777","9,732","±1,706","31,123","±3,327"
"    30.0 to 34.9 percent","46,390","±4,285","7,887","±1,355","78,682","±6,168","35,502","±3,528","548,408","±13,097","76,424","±5,575","42,046","±4,411","9,874","±1,751","19,611","±3,070","264,448","±10,074","115,980","±8,793","18,330","±2,394","18,623","±2,477","130,122","±6,993","67,880","±5,520","33,634","±3,494","33,478","±3,128","50,896","±3,877","45,947","±4,085","14,757","±2,290","62,486","±5,410","93,592","±5,407","92,017","±5,462","57,212","±3,714","26,223","±2,878","67,353","±4,373","12,038","±1,798","21,236","±2,568","42,442","±4,161","14,576","±2,421","108,150","±6,623","20,091","±2,918","301,250","±12,807","132,917","±8,729","8,522","±1,698","134,034","±7,176","43,588","±3,238","56,362","±4,500","137,770","±7,953","14,731","±2,491","50,143","±4,501","8,804","±1,744","76,322","±5,794","380,049","±13,465","31,842","±3,516","6,015","±1,298","94,421","±5,473","100,788","±6,542","17,151","±2,232","66,107","±4,110","5,873","±1,448","20,220","±2,645"
"    35.0 to 39.9 percent","37,746","±3,336","5,710","±1,436","65,445","±5,592","25,251","±3,693","419,166","±12,854","57,135","±4,590","30,532","±3,623","8,177","±1,763","10,987","±2,002","213,884","±10,161","88,769","±6,306","13,323","±1,955","14,287","±2,241","91,668","±7,714","47,597","±4,043","19,632","±2,289","22,245","±3,054","28,567","±3,808","33,336","±3,621","11,236","±1,990","55,471","±5,034","71,044","±5,719","62,100","±4,974","39,123","±3,960","20,604","±3,599","52,114","±4,245","9,996","±1,743","16,664","±2,405","31,765","±3,918","9,772","±1,685","80,867","±5,634","13,651","±2,393","199,756","±10,476","93,847","±6,336","6,293","±1,400","91,589","±5,422","31,807","±3,113","41,057","±3,887","93,606","±6,020","7,292","±1,695","35,365","±3,701","5,312","±1,619","58,076","±5,258","289,362","±13,766","21,278","±2,703","4,309","±1,101","65,067","±4,800","79,015","±5,092","11,586","±1,741","44,449","±3,682","3,901","±1,031","14,557","±2,587"
"    40.0 to 49.9 percent","44,503","±3,778","6,792","±1,402","96,280","±6,428","28,353","±3,734","572,811","±15,286","79,617","±6,169","41,848","±4,202","7,490","±1,655","11,256","±2,144","306,736","±12,633","122,813","±7,988","16,266","±1,848","18,176","±2,225","129,919","±7,427","64,222","±5,702","23,596","±2,681","31,341","±3,294","42,599","±4,314","48,735","±4,413","12,634","±2,260","69,509","±4,885","90,064","±5,754","88,868","±6,135","53,892","±4,452","27,048","±3,836","60,172","±5,208","9,278","±1,525","19,030","±2,715","50,323","±4,741","15,054","±2,153","108,451","±5,989","21,280","±3,086","278,852","±12,020","118,359","±7,401","8,192","±1,822","128,868","±7,689","45,634","±3,106","58,522","±5,046","126,686","±8,279","14,635","±2,589","56,449","±4,894","9,287","±1,926","80,206","±6,527","399,815","±15,050","30,549","±3,164","5,537","±1,211","93,963","±5,787","98,694","±6,214","11,362","±1,860","62,036","±4,430","4,340","±1,193","20,390","±2,633"
"    50.0 percent or more","138,735","±6,982","17,392","±2,298","234,675","±9,514","82,679","±5,532","1,677,588","±26,218","209,504","±8,389","132,114","±6,196","26,244","±3,124","44,725","±4,759","872,012","±20,806","367,845","±11,990","48,639","±3,769","40,902","±3,482","369,528","±12,576","190,099","±7,419","76,403","±4,815","73,038","±4,701","122,458","±5,726","160,067","±7,763","31,903","±3,152","198,165","±8,734","275,354","±11,005","264,134","±9,690","146,803","±5,960","74,380","±5,532","156,773","±7,165","29,589","±2,942","55,344","±4,215","136,896","±7,575","37,606","±4,134","324,741","±10,853","60,822","±4,625","960,230","±21,919","318,115","±9,519","18,830","±2,183","360,207","±12,201","116,559","±5,506","167,852","±6,479","382,299","±9,996","35,383","±4,245","137,177","±6,528","20,720","±2,437","208,208","±9,557","1,028,215","±23,118","73,193","±5,051","17,642","±2,482","247,334","±8,281","262,663","±8,589","36,009","±3,648","158,745","±6,774","12,481","±1,970","63,012","±4,737"
